fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-27560,0001670254-21-000092,3,1,0,unknown,1Q,1057,50000,50000,2021-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,850000,1,9,141,9,141,0,0,700,-14,0,0,259,14509,0,5300,0,0,-7666,-1039,AKT Pictures LLC,Limited Liability Company,2018-03-14,Sherman Oaks,CA,91403,http://en.aktpictures.com,2021-02-03,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-28129,0001670254-21-000694,1,0,0,unknown,2Q,813,50000,50000,2022-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,250000,1,91,53,91,53,0,0,8000,0,0,0,0,0,0,0,0,0,-8761,-1046,LFG Nexus LLC,Limited Liability Company,2019-02-28,CANTON,GA,30114,http://www.lfgnexus.com,2021-05-21,Wefunder Portal LLC,GEORGIA,United States,Wefunder Portal LLC
020-29411,0001670254-21-001398,3,2,0,unknown,4Q,1319,160000,80000,2022-04-30,2023-04-30,1,0.00,Other,160000,1,Y,Other,250000,2,14706,15005,111,981,0,0,4000,2000,8685,8065,4000,0,0,0,0,0,-919,-1062,Lean Med LLC,Limited Liability Company,2018-05-12,Greensburg,PA,15601,https://leanmedinnovation.com/,2021-12-21,Wefunder Portal LLC,PENNSYLVANIA,United States,Wefunder Portal LLC
020-23993,0001670254-18-000044,1,0,0,unknown,1Q,517,250000,250000,2018-08-17,2018-08-17,1,0.00,Other,250000,1,Y,Other,1070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1125,"Eve Fund 1, LLC.",Limited Liability Company,2016-09-21,Beverly Hills,CA,90211,http://www.theevestudios.co,2018-02-20,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-27920,0001670254-21-000435,3,2,0,unknown,2Q,1383,50004,50004,2021-04-30,2021-04-30,1,0.00,Preferred Stock,3446,14.51081,Y,Other,500013.49,11,989505,18030,940739,6627,0,0,9016,1200,0,0,72500,30300,0,0,25,0,33659,-1142,"Roam Research, Inc.",Corporation,2017-06-26,Leeds,UT,84746,https://roamresearch.com/,2021-04-09,Wefunder Portal LLC,UTAH,United States,Wefunder Portal LLC
020-30118,0001670254-22-000534,1,0,0,unknown,2Q,849,60000,60000,2023-04-30,2023-04-30,1,0.00,Other,60000,1,Y,Other,1070000,3,879,651,879,651,0,0,0,0,0,0,0,0,0,0,0,0,-1622,-1171,Dvy Up LLC,Limited Liability Company,2020-01-08,Washington,DC,20002,https://www.dvyup.com/,2022-05-06,Wefunder Portal LLC,DISTRICT OF COLUMBIA,United States,Wefunder Portal LLC
020-25911,0001746059-19-000088,2,0,0,unknown,4Q,1568,75000,75000,2020-02-15,2020-02-15,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,1,0,0,0,0,0,0,0,0,0,0,6008,8330,0,0,0,0,6008,-1185,Cocktail Parlor LLC,Limited Liability Company,2015-08-20,BROOKLYN,NY,11213,www.thecocktailparlor.com,2019-12-05,"MainVest, Inc.",NEW YORK,United States,"MainVest, Inc."
020-27280,0001670254-20-001101,1,0,0,unknown,4Q,795,100000,100000,2021-03-18,2021-03-18,1,0.00,Other,100000,1,Y,Other,1070000,5,66628,1639,55767,1639,4000,0,41755,0,0,0,181292,0,3481,0,1212,0,12807,-1199,"Aretanium Executive Group, Inc.",Corporation,2018-10-01,Chula Vista,CA,91910,http://www.aretanium.com,2020-12-04,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-23706,0001718335-17-000001,1,0,0,unknown,4Q,764,250000,250000,2018-01-05,2018-01-05,1,0.00,Debt,,,Y,"First-come, first-served basis",1070000,5,0,0,0,0,0,0,4132,0,0,0,3759,0,0,0,0,0,-4132,-1200,Delect Technologies LLC,Limited Liability Company,2015-09-24,Birmingham,AL,35203,delect.co,2017-10-27,SeedInvest,ALABAMA,United States,SeedInvest
020-29761,0001850551-22-000001,3,2,0,unknown,1Q,414,50000,50000,2023-02-10,2023-02-10,1,0.00,Common Stock,71429,0.7,Y,"First-come, first-served basis",4900000,1,75751.93,0,23819.28,0,0,0,35037.34,0,25000,1239,35689.48,0,33428.83,0,1753.05,0,-107751.9,-1239,"No Limit Technology Holdings, Inc",Corporation,2021-01-07,LA VERNE,CA,91750,www.Nolimit.technology,2022-02-25,RIALTO MARKETS LLC,CALIFORNIA,United States,others
020-32466,0001665160-23-001379,2,0,1,"At the close of the offering, the issuer closed on $0.00 and 0 number of securities.",2Q,244,9999,9999,2023-08-11,2023-08-11,0,0.00,Common Stock,2020,4.95,Y,Other,1234995.3,6,128824,144555,7028,15579,17897,12756,0,0,222339,186056,69805,60996,61354,42937,0,1016,-79956,-1242,"RainGlobes, Inc.",Corporation,2022-10-11,Seattle,WA,98134,https://www.rainglobes.com/,2023-06-12,StartEngine,WASHINGTON,United States,StartEngine
020-30995,0001665160-22-002494,3,1,0,unknown,3Q,273,9999,9999,2022-12-28,2022-12-28,1,0.00,Common Stock,9090,1.1,Y,Other,1234998.6,21,880892,744494,3655,5136,0,3278,658690,496454,225000,259000,48950,0,0,0,0,0,8162,-1250,Vasitum Inc,Corporation,2021-12-28,Jersey City,NJ,7311,www.vasitum.com,2022-09-27,StartEngine,NEW JERSEY,United States,StartEngine
020-29255,0001891790-21-000007,1,0,0,unknown,4Q,2180,125000,125000,2022-05-31,2022-05-31,1,0.00,Other,250,500,Y,"First-come, first-served basis",250000,3,0,-146.34,0,-146.34,0,0,0,0,0,0,0,0,0,0,0,0,-2001.75,-1313.64,"Boxx Wave, LLC",Limited Liability Company,2015-12-08,CINCINNATI,OH,45252,www.boxxwave.com,2021-11-26,Wunderfund,OHIO,United States,others
020-30023,0001670254-22-000315,1,0,0,unknown,2Q,25,75000,75000,2023-04-30,2023-04-30,1,0.00,Other,75000,1,Y,Other,250000,2,16665.26,-1169.59,16665.26,0,0,0,0,0,0,0,104095,12300,0,0,0,0,-48104.6,-1373.75,"Yornest, Inc.",Corporation,2022-03-17,Louisville,KY,40206,https://apps.apple.com/us/app/yornest/id1542987889,2022-04-11,Wefunder Portal LLC,KENTUCKY,United States,Wefunder Portal LLC
020-31166,0001670254-22-001104,1,0,0,unknown,4Q,1224,150000,150000,2023-04-30,2023-04-30,1,0.00,Other,150000,1,Y,Other,4000000,0,0,0,0,0,0,0,14361,14361,0,0,0,0,0,0,0,0,0,-1395,Better World Global Inc.,Corporation,2019-06-18,New York,NY,10023,http://wearebetterworld.com,2022-10-24,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-29401,0001746059-21-000618,2,0,0,unknown,4Q,419,50000,50000,2022-03-04,2022-03-04,1,0.00,Debt,,1,Y,"First-come, first-served basis",75000,2,0,0,0,666.14,0,0,0,0,0,2081.56,0,5860.14,0,3726.27,0,0,0,-1415.42,Granite Slates LLC,Limited Liability Company,2020-10-27,STRATHAM,NH,3885,https://www.graniteslates.com/,2021-12-20,"MainVest, Inc.",NEW HAMPSHIRE,United States,"MainVest, Inc."
020-28004,0001670254-21-000563,1,0,0,unknown,2Q,5066,50000,50000,2022-04-30,2022-04-30,1,0.00,Debt,,1,Y,Other,150000,15,38222.53,93774.09,-14731.1,36979.94,0,0,531391.66,207125.59,0,0,901709.19,1530652.77,456699.36,598213.69,7723.92,84509.45,-365518.5,-1433.77,Radio Free Red Hook LLC,Limited Liability Company,2007-06-15,Brooklyn,NY,11231,http://fortdefiancebrooklyn.com,2021-04-28,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-26431,0001670254-20-000385,1,0,0,unknown,2Q,742,50000,50000,2020-09-18,2020-09-18,1,0.00,Other,50000,1,Y,Other,750000,3,0,0,0,0,0,0,27185.03,1447.85,0,0,0,0,0,0,0,0,-25737.18,-1447.85,Takezo LLC,Limited Liability Company,2018-05-15,PORTLAND,OR,97203,https://betakezo.com/,2020-05-26,Wefunder Portal LLC,OREGON,United States,Wefunder Portal LLC
020-27530,0001669191-21-000097,3,2,0,unknown,1Q,1623,10000,10000,2021-03-29,2021-04-23,1,0.00,Common Stock,10000,1,Y,"First-come, first-served basis",1070000,0,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,-9522,-1448,"TrafficGenius, Inc.",Corporation,2016-08-19,Chicago,IL,60614,https://www.trafficgenius.co,2021-01-28,NetCapital Funding Portal Inc.,ILLINOIS,United States,NetCapital Funding Portal Inc.
020-25699,0001788657-19-000002,5,4,0,unknown,4Q,3159,10000,10000,2019-12-10,2021-02-28,1,0.00,Common Stock,33334,0.3,Y,"First-come, first-served basis",240000,0,1,189,1,189,0,0,0,0,8000,5000,635,705,0,0,-1024,-383,-4888,-1555,"Flowh, Inc.",Corporation,2011-02-09,CENTENNIAL,CO,80016,http://flowh.com,2019-10-04,truCrowd,COLORADO,United States,others
020-31046,0001665160-22-002573,2,0,0,unknown,4Q,1102,10000,10000,2023-01-02,2023-01-02,1,0.00,Common Stock,5000,2,Y,Other,1070000,4,1501,2927,1501,2927,0,0,0,0,0,0,0,0,0,0,0,0,-3298,-1573,Elemental Computing Inc.,Corporation,2019-09-27,San Diego,CA,92108,https://www.getelements.dev/,2022-10-03,StartEngine,CALIFORNIA,United States,StartEngine
020-26391,0001797010-20-000002,3,1,0,unknown,2Q,629,100000,100000,2020-08-31,2020-10-31,1,0.00,Common Stock,100000,1,Y,Other,1070000,0,149568,36947,109067,16692,0,0,4077,46,0,26000,0,0,0,0,0,0,-96475,-1599,"Animal Life Sciences, Inc.",Corporation,2018-08-22,HOUSTON,TX,77057,https://www.animallifesciences.com/,2020-05-12,Republic,TEXAS,United States,Republic
020-29560,0001746059-22-000035,2,0,0,unknown,1Q,1143,20000,20000,2022-03-18,2022-03-18,1,0.00,Debt,,1,Y,"First-come, first-served basis",65000,3,0,0,0,0,0,0,0,0,0,0,0,36914,0,6660,0,0,-11334,-1610,"Molly's Hatchet, LLC",Limited Liability Company,2018-12-04,ZEPHYRHILLS,FL,33541,http://mollyshatchet.com/,2022-01-20,"MainVest, Inc.",FLORIDA,United States,"MainVest, Inc."
020-24403,0001669191-18-000316,2,0,0,unknown,2Q,842,10000.7,10000.7,2018-10-01,2018-10-01,1,0.00,Common Stock,5155,1.94,Y,"First-come, first-served basis",106998.76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16370,-1750,"Lipidomics, Inc.",Corporation,2016-03-02,Corvallis,OR,97333,https://lipidomx.com/,2018-06-22,NetCapital Funding Portal Inc.,OREGON,United States,NetCapital Funding Portal Inc.
020-31301,0001670254-22-001185,1,0,0,unknown,4Q,883,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1235000,2,1931,3716,500,3716,0,0,700,1474,0,0,2716,0,2410,1080,0,0,-983,-1758,Satori Studios Inc.,Corporation,2020-06-15,Brookhaven,GA,30319,http://www.zenvrapp.com,2022-11-15,Wefunder Portal LLC,GEORGIA,United States,Wefunder Portal LLC
020-25308,0001763665-19-000001,4,2,0,unknown,2Q,1061,10000,10000,2019-07-31,2019-08-31,1,0.00,Other,200,50,Y,"First-come, first-served basis",300000,0,45484,2065,45379,2063,0,0,60,0,47060,2000,0,0,0,0,0,0,-5444,-1822,Orange Wolf Content L.L.C.,Limited Liability Company,2016-05-16,LOS ANGELES,CA,90066,www.orangewolfcontent.com,2019-04-12,truCrowd,CALIFORNIA,United States,others
020-25742,0001670254-19-000591,1,0,0,unknown,4Q,757,49999.5,49999.5,2020-02-21,2020-02-21,1,0.00,Preferred Stock,22222,2.38,Y,Other,999998.38,41,641560,1019,4569,19,0,0,302699,1415,443400,0,65185,0,0,0,8353,0,-659161,-1896,"Freerolls Entertainment, Inc.",Corporation,2017-09-18,Katy,TX,77494,http://freerollspokerclubs.com,2019-10-15,Wefunder Portal LLC,TEXAS,United States,Wefunder Portal LLC
020-27573,0001844167-21-000002,8,7,0,unknown,1Q,502,100000,10000,2021-05-15,2023-02-16,1,0.00,Other,100000,,Y,"First-come, first-served basis",700000,1,25796,10314.93,4405.63,3861.19,0,0,21988.67,1373.64,43415.16,10819.73,0,0,232.68,174.5,450,0,-20813.2,-1927.94,"RoboCash, Inc.",Corporation,2019-09-21,Irvine,CA,92614,https://fyncom.com,2021-02-04,Title3Funds,CALIFORNIA,United States,others
020-26778,0001669191-20-000411,2,1,0,unknown,3Q,1033,10004.94,10004.94,2020-10-19,2020-11-19,1,0.00,Common Stock,1023,9.78,Y,"First-come, first-served basis",249918.12,2,0,0,0,0,0,0,0,1930,0,0,0,0,0,0,0,0,-930,-1930,IoTeedom Inc.,Corporation,2017-10-20,Pompano Beach,FL,33062,www.ioteedom.com,2020-08-18,NetCapital Funding Portal Inc.,FLORIDA,United States,NetCapital Funding Portal Inc.
020-23450,0001710284-17-000001,1,0,0,unknown,2Q,617,300000,300000,2017-08-28,2017-08-28,1,0.00,Debt,,,Y,"First-come, first-served basis",1000000,2,2181,3268,2181,3268,0,0,0,0,0,0,215623,4340,-144174,-860,0,0,-11587,-1934,Leah Shabshelowitz,Corporation,2015-10-21,El Monte,CA,91731,http://www.fyxme.com/,2017-06-29,SeedInvest,CALIFORNIA,United States,SeedInvest
020-26534,0001670254-20-000540,2,1,0,unknown,2Q,1442,50001.06,50001.06,2020-10-16,2020-10-16,1,0.00,Preferred Stock,45046,1.11,Y,Other,1069998.93,2,283980,281456,0,0,4812,19650,120145,115676,20000,20000,187334,58240,138097,28733,800,800,-362258,-1966,"Do Only Good Certified Pet Nutrition, LLC",Limited Liability Company,2016-07-08,Westalke Village,CA,91361,http://www.dogcertified.com,2020-06-19,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-28896,0001670254-21-001105,2,1,0,unknown,4Q,1183,50000,50000,2022-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1000000,6,27301,43236,1386,1524,25915,41712,0,0,0,0,0,0,0,0,0,0,-15935,-1976,Aphios Pharma LLC,Limited Liability Company,2018-07-06,Woburn,MA,1801,https://aphios.com/investors/investors-overview/aphios-pharma-llc/,2021-10-01,Wefunder Portal LLC,MASSACHUSETTS,United States,Wefunder Portal LLC
020-27060,0001670254-20-000942,4,2,0,unknown,4Q,715,50000,25000,2020-12-05,2021-01-15,1,0.00,Other,50000,1,Y,Other,120000,0,150643,10029,2333,4511,0,0,5619,0,168970,12010,462,0,0,0,0,0,-22785,-1980,CLASSIFIED FILMS LLC,Limited Liability Company,2018-11-01,DeLand,FL,32724,http://followherfilm.com,2020-10-16,Wefunder Portal LLC,FLORIDA,United States,Wefunder Portal LLC
020-28504,0001875705-21-000002,3,1,1,"The offering closed December 31,2021",3Q,677,20000,20000,2021-12-31,2021-12-31,0,0.00,Other,200,100,Y,"First-come, first-served basis",250000,8,9105.83,2116.27,7964.71,0,450,0,0,0,0,0,691.12,0,0,0,0,0,-4318.67,-2003.91,D2J3 LLC dba Macrobites,Limited Liability Company,2019-09-25,Asbury Park,NJ,7712,macrobites.com,2021-08-02,Seed At The Table,NEW JERSEY,United States,others
020-26452,0001670254-20-000393,2,1,0,unknown,2Q,884,100000,100000,2020-09-25,2020-09-25,1,0.00,Other,100000,1,Y,Other,1070000,2,126267,73,220,73,0,0,0,0,120000,0,2600,0,0,0,0,0,-14822,-2013,"Stackhouse, LLC",Limited Liability Company,2017-12-27,Tucson,AZ,85719,http://www.stackhouse.life,2020-05-29,Wefunder Portal LLC,ARIZONA,United States,Wefunder Portal LLC
020-27093,0001817144-20-000002,2,0,0,unknown,4Q,202,25000,25000,2021-01-29,2021-01-29,1,0.00,Other,25000,1,Y,Other,1070000,6,339584,124923,103717,-1732,0,0,0,127038,0,0,0,0,0,0,0,0,-7439,-2115,"Service Write, Inc.",Corporation,2020-04-07,WINSTON-SALEM,NC,27101,https://www.shyftauto.com,2020-10-26,Republic,NORTH CAROLINA,United States,Republic
020-25484,0001760049-19-000003,1,0,0,unknown,3Q,597,25000,25000,2019-09-20,2019-09-20,1,0.00,Debt,,,Y,"First-come, first-served basis",401000,2,536738,711421,536738,711421,0,0,528662,673466,141410,0,279257,8056,142362,2731,0,0,-57113,-2125,"Coinseed, Inc.",Corporation,2017-11-22,NEW YORK,NY,10036,www.coinseed.co,2019-07-12,SeedInvest,NEW YORK,United States,SeedInvest
020-30053,0001670254-22-000351,1,0,0,unknown,2Q,578,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1070000,6,372292,55959,130797,16925,0,0,0,0,380000,25000,0,0,0,0,0,0,-10957,-2139,Zomo.fit Corp.,Corporation,2020-09-18,Jersey City,NJ,7307,https://zomo.fit,2022-04-19,Wefunder Portal LLC,NEW JERSEY,United States,Wefunder Portal LLC
020-27242,0001670254-20-001088,2,1,0,unknown,4Q,743,55000,55000,2021-03-25,2021-02-17,1,0.00,Other,55000,1,Y,Other,100000,3,77026,55950,10000,50000,0,0,0,0,0,0,0,0,895,200,0,0,-78107,-2200,"Automated Coffee Shop, Inc",Corporation,2018-11-13,Waukesha,WI,53186,https://www.octanemke.com/pitch,2020-11-25,Wefunder Portal LLC,WISCONSIN,United States,Wefunder Portal LLC
020-29604,0001670254-22-000101,1,0,0,unknown,1Q,1469,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,250000,1,51395,427,2395,427,49000,0,24500,0,40000,25000,49000,0,24500,0,450,0,-39875,-2242,"Proof in Recovery, INC.",Corporation,2018-01-23,Chicago,IL,60642,http://www.proofinrecovery.com,2022-01-31,Wefunder Portal LLC,ILLINOIS,United States,Wefunder Portal LLC
020-30019,0001670254-22-000312,1,0,0,unknown,2Q,1008,100001.93,100001.93,2022-04-30,2022-04-30,1,0.00,Preferred Stock,29668,4.0929,Y,Other,4999997.53,8,532594,57204,128693,821,0,0,0,0,0,0,284839,0,275533,0,0,0,-175959,-2296,Digifox Corp.,Corporation,2019-07-08,Middletown,DE,19709,http://digifox.finance,2022-04-11,Wefunder Portal LLC,DELAWARE,United States,Wefunder Portal LLC
020-26235,0001665160-20-000233,4,2,0,unknown,1Q,1508,10000,10000,2020-06-11,2020-07-13,1,0.00,Common Stock,10000,1,Y,Other,107000,2,117022,80823,77461,10046,123,281,5289,2986,71886,23977,255128,341655,114278,178444,0,0,-14014,-2313,"Tuffy Packs, Inc.",Corporation,2016-01-26,Houston,TX,77069,www.tuffypacks.com,2020-03-13,StartEngine,TEXAS,United States,StartEngine
020-27983,0001670254-21-000538,1,0,0,unknown,2Q,1444,50000,50000,2022-04-30,2022-04-30,1,0.00,Preferred Stock,100000,1,Y,Other,418554,1,89212,3195,53502,3195,0,0,31190,0,0,0,16600,4056,12952,21,3449,254,-55381,-2329,"Fuego Fino, Inc.",Corporation,2017-05-10,Hallandale Beach,FL,33009,https://fgfino.com,2021-04-23,Wefunder Portal LLC,FLORIDA,United States,Wefunder Portal LLC
020-31543,0001954540-22-000004,1,0,0,unknown,4Q,1778,25000,25000,2023-07-09,2023-07-09,1,0.00,Debt,,0.89144,Y,"First-come, first-served basis",100000,6,12604,5571,3733,3113,0,0,2244,0,0,0,78,0,91,0,0,0,-16402,-2346,Quanta Centre Inc,Corporation,2018-02-14,Golden,CO,80403,pranalink.com,2022-12-28,"Akemona, Inc.",COLORADO,United States,others
020-28560,0001670254-21-000912,3,0,0,unknown,3Q,987,125000,125000,2022-04-30,2022-04-30,1,0.00,Other,125000,1,Y,Other,1000000,1,400.16,2303.87,400.16,2303.87,0,0,0,0,0,0,0,0,0,0,0,0,-7403.71,-2364.11,Sativa Building Systems LLC,Limited Liability Company,2018-11-29,Wittenberg,WI,54499,https://www.sativabuildingsystems.com/,2021-08-12,Wefunder Portal LLC,WISCONSIN,United States,Wefunder Portal LLC
020-32431,0001391267-23-000005,1,0,0,unknown,2Q,2290,100000,100000,2023-06-28,2023-06-28,1,0.00,Preferred Stock,100000,1,Y,"First-come, first-served basis",4395000,2,2202859,787750,836164,226954,5000,0,1031922,250223,0,0,0,0,0,0,0,0,-1582,-2430,Truth & Treason LLC,Limited Liability Company,2017-02-27,PROVO,UT,84606,https://truthandtreason.com,2023-06-06,"VAS Portal, LLC",UTAH,United States,"VAS Portal, LLC"
020-31095,0001665160-22-002694,2,0,0,unknown,4Q,843,9999,9999,2023-01-09,2023-01-09,1,0.00,Common Stock,6666,1.5,Y,Other,1069999.5,5,97539,2547,54084,0,5000,0,273942,0,556200,5000,0,0,0,0,0,0,-730150,-2453,"VeraScore, Inc.",Corporation,2020-06-16,San Anselmo,CA,94960,https://myverascore.com,2022-10-07,StartEngine,CALIFORNIA,United States,StartEngine
020-25242,0001769638-19-000001,3,1,1,"Maximum amount raised during offering period, however, external financing provision not met, and offering cancelled. Funds returned to investors from escrow.",1Q,717,20000,20000,2019-05-15,2019-05-15,0,0.00,Debt,,1,Y,"First-come, first-served basis",21400,1,3854,708,1020,0,0,0,3854,4083,0,0,11862,1000,6700,800,0,0,1953,-2460,Good Chroma LLC,Limited Liability Company,2017-03-27,PITTSBURGH,PA,15239,https://www.goodchroma.com,2019-03-14,Honeycomb Portal LLC,PENNSYLVANIA,United States,Honeycomb Portal LLC
020-30012,0001670254-22-000300,3,2,0,unknown,2Q,829,50000.6,50000.6,2022-04-30,2023-04-30,1,0.00,Common Stock,19231,2.93,Y,Other,3000000.81,11,1886,0,656,0,0,0,24345,0,0,0,0,0,0,0,0,0,-187460,-2500,"KarbonPay, Inc.",Corporation,2019-12-31,Richardson,TX,75081,http://karbonpay.com,2022-04-08,Wefunder Portal LLC,TEXAS,United States,Wefunder Portal LLC
020-22936,0001674319-16-000005,2,1,0,unknown,3Q,96,50000,50000,2016-10-28,2016-10-28,1,0.00,Preferred Stock,50000,1,Y,Other,100000,4,39302,32769,857,2769,0,0,0,0,29020,20300,107,0,0,0,500,0,-10256,-2531,Lifeblink Inc,Corporation,2016-04-20,CHERRY HILL,NJ,8034,www.lifeblink.com,2016-07-25,"FLASHFUNDERS SECURITIES, LLC",NEW JERSEY,United States,others
020-27012,0001670254-20-000905,2,1,0,unknown,4Q,708,147000,147000,2021-01-21,2021-04-30,1,0.00,Other,147000,1,Y,Other,1070000,21,-12,90,-12,90,0,0,2581,2581,0,0,0,0,0,0,0,0,-202,-2532,Armbrust Inc.,Corporation,2018-10-29,Pflugerville,TX,78660,http://armbrustusa.com,2020-10-06,Wefunder Portal LLC,TEXAS,United States,Wefunder Portal LLC
020-29942,0001918895-22-000002,3,2,0,unknown,1Q,1654,10000,10000,2022-07-29,2022-12-30,1,0.00,Common Stock,10000,1,Y,Other,1000000,2,144981,66272,144981,66272,0,0,66957,23174,0,0,52277,1391,0,0,0,0,27317,-2548,Digital Frontier Marketing Inc.,Corporation,2017-09-17,PALM HARBOR,FL,34683,https://digitalfrontiermarketing.co/,2022-03-29,truCrowd,FLORIDA,United States,others
020-24686,0001670254-18-000442,2,0,0,unknown,3Q,634,100000,100000,2019-03-13,2019-03-13,1,0.00,Other,100000,1,Y,Other,1070000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2700,Billion Vegans Inc.,Corporation,2016-12-19,Beverly Hills,CA,90211,http://www.billionvegans.com,2018-09-14,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-27710,0001833503-21-000002,4,3,0,unknown,1Q,787,10000,10000,2021-07-09,2021-12-17,1,0.00,Debt,,1,Y,"First-come, first-served basis",1070000,3,289218,100,86031,100,0,0,28864,2774,0,0,0,0,0,0,0,0,-261973,-2774,American Vanity LLC,Limited Liability Company,2019-01-01,ENCINO,CA,91436,americanvanity.com,2021-02-26,truCrowd,CALIFORNIA,United States,others
020-23943,0001670254-18-000013,2,1,0,unknown,1Q,1261,500000,500000,2018-07-27,2018-11-27,1,0.00,Other,500000,1,Y,Other,1000000,3,64495,109390,3853,27771,0,0,0,0,118800,112200,14084,0,11408,0,0,0,-51495,-2810,The Enclave Group LLC,Limited Liability Company,2014-08-13,Newark,DE,19711,http://www.enbev.com,2018-01-25,Wefunder Portal LLC,DELAWARE,United States,Wefunder Portal LLC
020-30040,0001670254-22-000337,2,0,0,unknown,2Q,619,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,250000,2,40908.75,9681.8,18417.57,7182.9,0,0,7276.06,0,0,0,12423.09,23.95,7711.98,0,0,0,-39511.41,-2817.1,Horror Hub LLC,Limited Liability Company,2020-08-04,Canonsburg,PA,15317,https://horrorhubmarketplace.com,2022-04-15,Wefunder Portal LLC,PENNSYLVANIA,United States,Wefunder Portal LLC
020-30241,0001926779-22-000001,1,0,0,unknown,2Q,1511,25000,25000,2022-07-11,2022-07-11,1,0.00,Debt,,1,Y,"First-come, first-served basis",50000,2,30323,7244,9391,4640,5202,0,0,0,0,0,30277,8823,17053,4607,0,0,-9279,-2869,Bold Pickin's LLC,Limited Liability Company,2018-04-06,SHEFFIELD LAKE,OH,44054,www.boldpickins.com,2022-05-26,Honeycomb Portal LLC,OHIO,United States,Honeycomb Portal LLC
020-31009,0001746059-22-000360,2,0,0,unknown,3Q,1240,25000,25000,2022-12-02,2022-12-02,1,0.00,Debt,,1,Y,"First-come, first-served basis",40000,1,0,0,0,0,0,0,0,0,0,0,27368,14024,0,622,0,0,5078,-2948,DE L'OR CAKERY Co.,Corporation,2019-05-07,BRONX,NY,10464,http://delorcakery.com,2022-09-28,"MainVest, Inc.",NEW YORK,United States,"MainVest, Inc."
020-31526,0001957139-22-000001,4,3,0,unknown,4Q,3885,40000,40000,2023-02-06,2023-02-09,1,0.00,Debt,,1,Y,"First-come, first-served basis",124000,3,0,2097,0,2097,0,0,0,0,0,0,399972,49916,291580,24395,0,0,-98583,-2954,Roots & Fruits Juicery Inc,Corporation,2012-05-03,JACKSONVILLE,FL,33217,rootsandfruitsjuicery.us,2022-12-22,Honeycomb Portal LLC,FLORIDA,United States,Honeycomb Portal LLC
020-30345,0001670254-22-000669,1,0,0,unknown,2Q,232,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1070000,3,39991,0,30689,0,0,0,37500,2985,0,0,262533,0,0,0,0,0,3801,-2985,Sidekick Mobile Technologies Inc,Corporation,2021-10-28,Marina Del Rey,CA,90292,https://www.sobersidekick.com/,2022-06-17,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
